appendix_ref,source_signal_id,source,source_grade,base_retest_grade,ticker,formation_date,event_date,event_day,entry_date,entry_open,formation_close,atr_abs20,rank_pct,swing_score,swing_rank_pct,mom12_1_pct,atr_pct20_pct,return_volume_corr20_pct,sma200_slope20_pct,close_vs_level_atr,close_location,event_volume_ratio,pullback_from_peak_atr,event_body_atr,event_body_return,r5,mfe5,mae5,r10,mfe10,mae10
S0001,MTR-v2:weekly:QNST:2019-01-17,weekly,A+,A,QNST,2019-01-11,2019-01-17,4,2019-01-18,18.799999237060547,18.36000061035156,0.9409998416900638,0.9757847533632288,0.7678571428571429,0.8973214285714286,0.7589285714285714,0.7053571428571429,0.8392857142857143,0.3482142857142857,0.361317970019255,0.8205141999188157,0.4725126322018724,0.0106272375815443,0.2550496480804361,0.013001174992943,0.0127660472450275,0.0202128235923615,-0.0590424865983389,0.0489361762568767,0.0542553456998518,-0.0590424865983389
S0002,MTR-v2:monthly:UPBD:2019-02-04,monthly,A+,A+,UPBD,2019-01-31,2019-02-04,2,2019-02-05,12.197346781250465,12.26744270324707,0.3978153872644306,0.9641214351425944,0.7064220183486238,0.8256880733944955,0.6422018348623854,0.5321100917431193,0.944954128440367,0.8623853211009175,0.6872230629777581,0.8933334350585941,0.7057522247323892,0.264309809818225,1.1806175939965202,0.038908252207324,-0.012643788666017,0.030459810245115,-0.0166670020232153,0.0327584031141054,0.0614939199519921,-0.0166670020232153
S0003,MTR-v2:monthly:CDNA:2019-05-02,monthly,A+,A+,CDNA,2019-04-30,2019-05-02,2,2019-05-03,28.63999938964844,27.209999084472656,1.8511997222900387,0.9954254345837146,0.7000000000000001,0.8090909090909091,0.9545454545454546,0.990909090909091,0.1545454545454545,0.8454545454545455,0.6320226079369702,0.8414632160701142,0.6500732064421669,0.3457214161942084,0.7238539575738506,0.0495561464448688,0.1487430945187167,0.2011173973108513,-0.0223463478801525,0.2053073042396949,0.2280027555327761,-0.0223463478801525
S0004,MTR-v2:weekly:ROKU:2019-05-14,weekly,A+,A,ROKU,2019-05-10,2019-05-14,2,2019-05-15,82.6500015258789,82.75,3.684449577331544,0.9481216457960644,0.75,0.8928571428571429,0.4821428571428571,0.7857142857142857,0.9821428571428572,0.3839285714285714,0.0217133738365958,0.8494630712814918,0.7991196860102017,-0.5618206061387906,0.5889612880838853,0.0269030259164826,0.0602540306787502,0.0604960666387215,-0.0247307765338844,0.1107078204107945,0.160919481873196,-0.0247307765338844
S0005,MTR-v2:monthly:ROKU:2019-06-04,monthly,A+,A+,ROKU,2019-05-31,2019-06-04,2,2019-06-05,97.3000030517578,90.4000015258789,4.985049057006835,0.96094459582198,0.8258258258258259,0.9369369369369368,0.6126126126126126,0.90990990990991,0.954954954954955,0.8018018018018018,0.6419188480691816,0.9602640474133356,0.4900634437178252,0.2206595083703276,0.5215592553631171,0.0285714118035285,0.0298046639828137,0.0691674770447758,-0.0083248218148298,0.072867380426691,0.0906474760348416,-0.0083248218148298
S0006,MTR-v2:monthly:SE:2019-06-04,monthly,A+,A+,SE,2019-05-31,2019-06-04,2,2019-06-05,28.950000762939453,28.440000534057617,1.5632505416870113,0.9682107175295186,0.8528528528528528,0.954954954954955,0.6846846846846847,0.9009009009009008,0.972972972972973,0.927927927927928,0.185510255998858,0.9782603888223904,0.7489096809154262,-0.1644010109889842,0.3454334374296527,0.019155693435561,0.0531951284143021,0.0742659606863502,-0.0290155485475228,0.0797927255635706,0.1205526000620103,-0.0290155485475228
S0007,MTR-v2:monthly:UPBD:2019-06-04,monthly,A+,A+,UPBD,2019-05-31,2019-06-04,2,2019-06-05,17.279568943018404,16.725784301757812,0.6203823787980711,0.9927338782924614,0.7267267267267267,0.8378378378378378,0.927927927927928,0.5315315315315315,0.7207207207207207,0.7747747747747747,0.7457594492198729,0.7954544469345936,0.7953352842030118,0.2711906127102361,0.2937854433139505,0.0107172393416674,-0.0004056133236083,0.0077079325354141,-0.0507098146823382,0.0466534276344416,0.0738339662819413,-0.0507098146823382
S0008,MTR-v2:lm2:ENPH:2019-07-02,lm2,A+,A,ENPH,2019-06-27,2019-07-02,3,2019-07-03,18.670000076293945,17.920000076293945,0.8590000152587891,0.9928698752228164,0.7050147492625368,0.8407079646017699,0.9292035398230089,0.8849557522123894,0.3008849557522124,0.991150442477876,0.7450516627239246,0.8571424678884584,0.5764416863626308,-0.3725258313619623,0.3608841215782632,0.016986272106432,0.0653454369774522,0.1071237274679757,-0.0058918377023058,0.0814140573943369,0.1071237274679757,-0.0058918377023058
S0009,MTR-v2:weekly:ENPH:2019-07-02,weekly,A+,A,ENPH,2019-06-28,2019-07-02,2,2019-07-03,18.670000076293945,18.229999542236328,0.8305000782012939,0.9903169014084507,0.7485380116959064,0.868421052631579,0.9035087719298246,0.8596491228070176,0.4824561403508772,0.9912280701754386,0.3973508640971739,0.8571424678884584,0.564096794270162,-0.3853096504425112,0.3732684367878484,0.016986272106432,0.0653454369774522,0.1071237274679757,-0.0058918377023058,0.0814140573943369,0.1071237274679757,-0.0058918377023058
S0010,MTR-v2:monthly:ZS:2019-07-02,monthly,A+,A+,ZS,2019-06-28,2019-07-02,2,2019-07-03,79.16000366210938,76.63999938964844,3.2745986938476563,0.9850352112676056,0.7163742690058479,0.8421052631578947,0.8508771929824561,0.7807017543859649,0.5175438596491229,0.8333333333333334,0.7084836682989747,0.7834393511611747,0.7090530603479628,0.1710125761809769,0.6504605457211675,0.0277235090804985,0.0521727774425915,0.0800909050604974,-0.0083375900906544,0.0358766574849214,0.0800909050604974,-0.0083375900906544
