actionable,base_retest_grade,ticker,formation_date,event_date,event_day,formation_close,atr_abs20,adv20,rank_pct,swing_score,swing_rank_pct,mom12_1_pct,atr_pct20_pct,return_volume_corr20_pct,sma200_slope20_pct,expansion_date,expansion_peak_atr,pullback_from_peak_atr,close_vs_level_atr,close_location,event_volume_ratio,event_body_atr,event_body_return,entry_date,entry_open,r5,mfe5,mae5,r10,mfe10,mae10,policy,days_to_end,formation_return5,formation_return10,formation_return20,formation_return63,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_slope5,sma50_slope10,sma200_slope20_raw,distance_prior_high20,distance_prior_high60,formation_volume_ratio20,relative_volume5_20,relative_volume20_60,signed_volume20,formation_gap,formation_close_location,atr_pct_raw,year,sample,quality_points,grade,month
True,A,MRNA,2020-05-28,2020-06-02,3,55.540000915527344,6.970999526977539,1989609658.6781883,0.979557069846678,0.7485875706214689,0.8898305084745762,0.7966101694915254,0.9830508474576272,0.4661016949152542,0.9830508474576272,2020-05-29,1.1992542214353388,-0.5781097213388358,0.6211445000965029,0.9825893776275328,0.700066535209223,0.167837935495112,0.0199318254469937,2020-06-03,57.5099983215332,0.0125195834066567,0.1018953361394452,-0.0153016393514391,0.1187619234167165,0.1646671067951428,-0.0153016393514391,rolling_daily_cohorts_cooldown_10,1,-0.2440451886112571,-0.1478981182036439,0.1977572179182678,1.1230887323962144,-0.0800447106718076,0.2038634819477258,1.17260348277803,0.0534282596924464,0.2124846925694996,0.2247686543618603,-0.361609184878996,-0.361609184878996,1.0406558355410926,0.2667458637278266,0.4642811733506327,0.1489148308997576,0.0252970426811838,0.3802086161793444,0.1255131330944694,2020,development,3,A+,2020-06
True,A+,DQ,2020-07-30,2020-08-03,2,22.194000244140625,1.689599800109863,34276581.73241615,0.9418907198612316,0.7068965517241379,0.8232758620689655,0.4224137931034483,0.853448275862069,0.8448275862068966,0.7241379310344828,2020-07-31,0.4758517058840064,0.1917621629895977,0.6676138688736042,0.7345018205934634,0.7622833931117929,0.6451232726927496,0.0490284335813806,2020-08-04,23.74399948120117,0.0035377205030504,0.0845687909109182,-0.0279649415432654,-0.0363038885846175,0.0845687909109182,-0.0772405523021128,rolling_daily_cohorts_cooldown_10,1,0.0138876593407282,0.2666362890017542,0.2909493353291412,1.1287167664933024,0.1279387780311041,0.4666427141220142,0.9436572566660476,0.0887772413694696,0.1647316729393331,0.0999436481336601,-0.069511952395929,-0.069511952395929,1.0083113665499903,-0.3286951010472033,0.1639041019336089,0.0385318986503032,0.0155238196963356,0.6790831063005376,0.0761286735840209,2020,development,3,A+,2020-08
True,A,ZM,2020-09-29,2020-10-01,2,465.5,40.56180267333984,7284413832.792358,0.9857142857142858,0.9215686274509804,0.9831932773109244,0.8571428571428571,0.9327731092436976,0.9747899159663864,0.9831932773109244,2020-09-30,0.3958155608881213,0.0353780518620016,0.4311936127501229,0.9604901058257094,0.4750318604925963,0.1476756416033761,0.0125576315186057,2020-10-02,485.0050048828125,-0.0133091762453119,0.0463603161311609,-0.0242925595011126,0.1059680189149143,0.1134936389439038,-0.0242925595011126,rolling_daily_cohorts_cooldown_10,1,-0.0550142220213875,0.1327687673004602,0.4318670909276432,0.8360022573427282,0.0836688889172827,0.4020505743734186,1.433946521760229,0.1185310112154809,0.1387163410143812,0.232018786258368,-0.1212670204602696,-0.1212670204602696,0.9194014911647386,0.0962644724606576,0.7216411562045013,0.1594547768375352,0.0009637887404618,0.0932836245789595,0.087135988557121,2020,development,3,A+,2020-10
True,A+,MRNA,2020-12-30,2021-01-06,4,111.12999725341795,12.79354934692383,4322282692.947884,0.9921813917122752,0.7864583333333333,0.921875,0.921875,0.9609375,0.4765625,0.8515625,2021-01-05,0.3009333844044898,0.1000503257217404,0.4009837101262303,0.8992484187653255,0.7100854237609213,0.4025467355638271,0.0463504769830693,2021-01-07,120.0999984741211,0.0329725156934614,0.0622814608823276,-0.0716902641110927,0.1072439418572792,0.1407160844345929,-0.0716902641110927,rolling_daily_cohorts_cooldown_10,1,-0.11717508994146,-0.2451433478334324,-0.2118998540345978,0.5707420106490171,-0.2145596073643276,0.0252828482655607,0.5256030343729403,-0.01320607430938,0.109782790721405,0.1912611312818826,-0.3774229845746893,-0.3774229845746893,0.7881816979904663,-0.1225558326202079,0.4218713490947741,-0.1149116327468932,0.0350555307074627,0.2297598331629299,0.115122376164104,2021,development,3,A+,2021-01
True,A,MARA,2021-01-28,2021-02-01,2,19.89999961853028,3.64650001525879,1076617256.0746956,0.9969348659003832,0.946564885496183,0.9923664122137404,0.9694656488549618,0.9770992366412212,0.8931297709923665,0.9923664122137404,2021-01-29,1.1737284159429122,-0.9433704976451186,0.2303579182977935,0.7679556904867534,0.3178153659885439,0.0438776489078823,0.0077745310012276,2021-02-02,21.38999938964844,0.4992987662423356,0.4992987662423356,-0.050958400359534,1.0364657604605454,1.1159420108930207,-0.050958400359534,rolling_daily_cohorts_cooldown_10,1,0.1332574159313799,-0.1347826252812922,0.6921768053759985,6.210144814236078,0.0396530867532087,0.7072458973443188,3.770523350418472,0.0942091039833743,0.4315083581019499,0.8100537979945415,-0.2985548456167051,-0.2985548456167051,0.7363862919502,-0.4313954829739845,0.4201971775010051,0.1526216667979869,0.0419263335474104,0.57083337638114,0.1832412103095358,2021,development,3,A+,2021-02
True,B,RIOT,2021-01-28,2021-02-01,2,19.93000030517578,3.609049844741821,720260103.6461735,0.9961685823754788,0.9134860050890584,0.9694656488549618,0.9618320610687024,0.9694656488549618,0.8091603053435115,0.9694656488549618,2021-01-29,1.3313754345001323,-1.3175215839822758,0.0138538505178566,0.7206702362875942,0.393617981042198,0.052645583250793,-0.0094199570321731,2021-02-02,20.559999465942383,0.5948444439331793,0.6001946683110437,-0.0457197787512636,1.8939689467678087,1.980009854016393,-0.0457197787512636,rolling_daily_cohorts_cooldown_10,1,0.0299741556729624,-0.1654103431494432,0.2621912826677997,3.957711542223041,-0.0682343976538475,0.4034223143749083,2.573173464506688,0.0612898023489303,0.3481364791386487,0.5829725439797488,-0.3193306066326092,-0.3193306066326092,0.8027895395274984,-0.3750583409517394,0.2130467606262005,0.0594223644324688,0.0256552747709588,0.4678112396047449,0.1810862914941631,2021,development,3,A+,2021-02
True,A,NVAX,2021-02-25,2021-03-01,2,221.5,31.375498199462896,1603310416.6960907,0.992603550295858,0.931372549019608,0.9852941176470588,0.9264705882352942,0.8676470588235294,1.0,0.8088235294117647,2021-02-26,0.3805518040064347,0.2183229347046296,0.5988747387110643,0.8554686762702972,0.3787470648627219,0.0653372188685696,0.0086047168640932,2021-03-02,225.75,-0.3006866218507752,0.0186046376444837,-0.3471096372551564,-0.0367220079119947,0.0186046376444837,-0.3471096372551564,rolling_daily_cohorts_cooldown_10,1,-0.165064673129244,-0.2576082220308366,0.6885196856768374,1.3568843593115103,-0.1633237404850582,0.2289660928255126,0.8530122129188482,0.1250366506949385,0.1801055550213057,0.258153626480414,-0.3321876360009532,-0.3321876360009532,0.385862549173079,-0.5522436842257532,0.2964072513869793,0.3287533593296119,0.0002083981464076,0.0414779484190224,0.1416501047379814,2021,development,3,A+,2021-03
True,A+,LQDT,2021-05-27,2021-06-01,2,24.239999771118164,2.08899974822998,20475782.908172607,0.9439880507841673,0.7686567164179103,0.9029850746268656,0.4402985074626865,0.9104477611940298,0.9552238805970148,0.8955223880597015,2021-05-28,0.3446622307946907,0.2776457161118023,0.622307946906493,0.7619052905225935,0.3782880267440837,0.6414553920953219,0.0553719053860528,2021-06-02,25.709999084472656,-0.0085569553165546,0.0606768350385964,-0.0824581488672677,-0.1267988501602884,0.0606768350385964,-0.1481913497322291,rolling_daily_cohorts_cooldown_10,1,-0.0601008565097015,-0.072685526507039,0.3217011760873811,0.5528507561977682,0.0034773857017129,0.1732021924109121,0.6498830872250954,0.064492674745316,0.0730073382266411,0.1458704624770279,-0.1920000076293945,-0.1920000076293945,0.5494602169186492,-0.5682992120046753,0.7785220148044392,0.412007188729279,0.0057898837006411,0.4324321537838984,0.0861798584139845,2021,development,3,A+,2021-06
True,A,BBW,2021-06-29,2021-07-01,2,13.876249313354492,1.6134688406029636,10223448.210611343,0.993482983345402,0.8153477218225419,0.8992805755395683,0.935251798561151,0.9784172661870504,0.5323741007194245,0.9856115107913668,2021-06-30,0.408795359331753,0.1138436266401531,0.5226389859719062,0.7678567171092744,0.3838032952856426,0.1655884623112685,0.0184864069726762,2021-07-02,14.652715467115613,-0.0301992387172556,0.0045584004093355,-0.1287748622682618,-0.1310539645329352,0.0598291344140722,-0.1350425518969623,rolling_daily_cohorts_cooldown_10,1,-0.0370799257369097,-0.011302648655036,-0.0047903133292814,1.377682926629986,-0.0484640954845088,0.3105809812086062,1.3886004835308174,0.0529599666179263,0.1696981989067325,0.2705054136809055,-0.2085712859439735,-0.2085712859439735,0.5075610223720236,-0.0675431700149918,0.0667997409484812,0.295164692560995,0.0134662267399801,0.2376253703749171,0.11627557304337,2021,development,3,A+,2021-07
True,A+,PRTA,2021-07-29,2021-08-02,2,49.720001220703125,4.939399719238281,25202768.54444504,0.9713178294573644,0.8217054263565892,0.9224806201550388,0.7131782945736435,0.9534883720930232,0.7984496124031008,0.9612403100775194,2021-07-30,0.3745391301124314,0.2368712900649813,0.6114104201774127,0.755627597305426,0.4439822576879815,0.4757667778263468,0.0466362833356397,2021-08-03,52.70000076293945,0.0848196838955137,0.1132826815859209,-0.031593944808787,0.0702087421133668,0.1347248267805352,-0.031593944808787,rolling_daily_cohorts_cooldown_10,1,-0.0315543226932208,-0.0394126191457273,-0.0328729552951759,0.8517691066781852,-0.0544292520405015,0.1187665920807392,1.056593595675544,0.0093192505701662,0.1417113711997335,0.2104442305966285,-0.2587844264772134,-0.2587844264772134,0.6621532715040642,-0.3149260383284874,-0.0742586577251532,0.0632016808506122,0.0182024849055819,0.0657282754890616,0.0993443201522196,2021,development,3,A+,2021-08
