reference_id,grade,ticker,formation_date,event_date,entry_date,entry_open,r5,mfe5,mae5,r10,mfe10,mae10,sma200_slope_percentile_d10,pullback_from_peak_atr,event_body_atr,event_body_return,close_location
A+001,A+,UPBD,2019-01-31,2019-02-04,2019-02-05,12.197346781250463,-0.012643788666017008,0.030459810245115015,-0.01666700202321536,0.032758403114105494,0.06149391995199216,-0.01666700202321536,0.8623853211009175,0.26430980981822494,1.18061759399652,0.03890825220732408,0.8933334350585941
A+002,A+,CDNA,2019-04-30,2019-05-02,2019-05-03,28.63999938964844,0.1487430945187167,0.20111739731085132,-0.02234634788015255,0.2053073042396949,0.22800275553277616,-0.02234634788015255,0.8454545454545455,0.34572141619420843,0.7238539575738506,0.04955614644486883,0.8414632160701142
A+003,A+,ROKU,2019-05-31,2019-06-04,2019-06-05,97.3000030517578,0.029804663982813784,0.06916747704477588,-0.008324821814829853,0.07286738042669105,0.09064747603484169,-0.008324821814829853,0.8018018018018018,0.22065950837032766,0.5215592553631171,0.028571411803528513,0.9602640474133356
A+004,A+,SE,2019-05-31,2019-06-04,2019-06-05,28.950000762939453,0.053195128414302184,0.07426596068635027,-0.029015548547522862,0.07979272556357064,0.1205526000620103,-0.029015548547522862,0.9279279279279279,-0.16440101098898421,0.3454334374296527,0.019155693435561005,0.9782603888223903
A+005,A+,UPBD,2019-05-31,2019-06-04,2019-06-05,17.279568943018404,-0.0004056133236083337,0.00770793253541413,-0.05070981468233826,0.04665342763444169,0.07383396628194139,-0.05070981468233826,0.7747747747747747,0.2711906127102361,0.29378544331395057,0.010717239341667462,0.7954544469345936
A+006,A+,ZS,2019-06-28,2019-07-02,2019-07-03,79.16000366210938,0.05217277744259152,0.08009090506049743,-0.00833759009065449,0.035876657484921415,0.08009090506049743,-0.00833759009065449,0.8333333333333334,0.17101257618097696,0.6504605457211674,0.027723509080498587,0.7834393511611747
A+007,A+,ROKU,2019-12-31,2020-01-03,2020-01-06,136.25999450683594,-0.05768384652295899,0.060839636570702904,-0.05988543029708504,-0.04315272171633944,0.060839636570702904,-0.0730954928563311,0.8632478632478633,0.026628504260707415,0.44382646369016304,0.022303175395992803,0.7177903772884286
A+008,A+,MGNI,2020-01-31,2020-02-04,2020-02-05,9.829999923706056,0.03255337714220152,0.0691760234438954,-0.026449667436397317,0.2970498574727414,0.32146489032939285,-0.026449667436397317,0.603448275862069,0.168775400128734,0.37130845560618037,0.02330511406864666,0.7083329194126157
A+009,A+,DKNG,2020-10-30,2020-11-03,2020-11-04,39.43000030517578,0.02358610950996387,0.12832871757870157,-0.027897501029861882,0.18209485796613856,0.18767439687053566,-0.027897501029861882,0.8189655172413793,0.24087407301568547,0.3432440609028377,0.031379007216949084,0.8489596992744121
A+010,A+,MRNA,2020-10-30,2020-11-03,2020-11-04,68.97000122070312,0.10265335226541139,0.16543418632403672,-0.0007394882055778984,0.3505872100509335,0.496302669591139,-0.0007394882055778984,0.6551724137931034,0.1332990807416569,0.6470519376991263,0.034906394472729474,0.9360910019159506
A+011,A+,NET,2020-10-30,2020-11-03,2020-11-04,55.0,0.1134545759721235,0.30490902987393476,-0.012727286598899101,0.19927271062677554,0.30490902987393476,-0.012727286598899101,0.8017241379310345,-0.053387561470868365,0.42081473983072687,0.025913753167910336,0.9177209383178657
A+012,A+,PDD,2020-11-30,2020-12-02,2020-12-03,144.8000030517578,0.019129863356914578,0.12638123388171896,-0.015814975805651943,0.0046270590802808265,0.12638123388171896,-0.043024831465729996,0.8387096774193549,0.23178951798304526,1.1388344266997639,0.08995989675697902,0.9441266741071429
A+013,A+,UPWK,2020-12-31,2021-01-05,2021-01-06,34.68000030517578,0.22837364761393308,0.2315455221636329,-0.012975800431936357,0.14734719046668876,0.27018451122926757,-0.012975800431936357,0.8671875,-0.20340444276926495,0.6632766769605035,0.04524886669549644,0.8750013546523095
A+014,A+,TGTX,2020-12-31,2021-01-07,2021-01-08,55.10699844360352,-0.07107989779017276,0.02963331847105577,-0.07343889496094047,-0.10319923848652879,0.02963331847105577,-0.15092452434308845,0.7421875,-0.043044514351735716,0.4218312051766147,0.028150083715874352,0.9627480617365256
A+015,A+,DFTX,2021-01-29,2021-02-02,2021-02-03,49.650001525878906,0.021148020237486964,0.11178245853965874,-0.036253836786281024,0.22326281457805908,0.32930509509851746,-0.036253836786281024,0.916030534351145,0.058582160207751754,0.292911545951348,0.03289473794283748,0.733332316080726
A+016,A+,TDAY,2021-05-28,2021-06-02,2021-06-03,5.099999904632568,0.05098043798896268,0.06470586860331129,-0.017646995575231528,0.13137256643580586,0.1411765255867552,-0.017646995575231528,0.6194029850746269,0.12121201174536678,0.30303002936341694,0.019342341036143962,0.962962112636009
A+017,A+,CLDX,2021-07-30,2021-08-03,2021-08-04,44.20000076293945,0.05203618093574858,0.08914023888462386,-0.011312216999309177,0.028733041534889203,0.08914023888462386,-0.05022627109464983,0.8153846153846154,0.0,0.36303155985581326,0.027466257739954703,0.9125682946200203
A+018,A+,AA,2022-01-31,2022-02-02,2022-02-03,56.091838925385346,0.22088290729616222,0.2286927389051745,-0.009677413922880462,0.32156217846318413,0.323429761365134,-0.009677413922880462,0.8992805755395683,0.21886115120461141,0.2899213189907708,0.017528793294995904,0.8394003652962063
A+019,A+,SGML,2022-08-31,2022-09-07,2022-09-08,23.979999542236328,0.2039199912570573,0.21976649534465342,-0.0229357484386864,0.12969143743617972,0.23019185000571896,-0.0229357484386864,0.9852941176470589,-0.2314948970462359,0.34427495577926714,0.025206428419676463,0.761061767654776
A+020,A+,RYTM,2022-09-30,2022-10-04,2022-10-05,24.729999542236328,-0.047715338739107604,0.07885162956064962,-0.08127781100234,-0.04326727515691087,0.07885162956064962,-0.11120097253957806,1.0,-0.1932463456704041,0.2798741055222266,0.03500000635782885,0.7435899003409998
A+021,A+,WFRD,2023-02-28,2023-03-02,2023-03-03,65.12543917050809,-0.06490998972663509,0.044811318821685875,-0.06773866957063979,-0.18773268997375214,0.044811318821685875,-0.2338842745931463,0.9014084507042254,-0.14363512504253148,0.4472358785040798,0.020499701925055014,0.7326196226907803
A+022,A+,AXSM,2023-05-31,2023-06-02,2023-06-05,73.87999725341797,-0.0018949566168529053,0.03830538625153723,-0.010286877843661224,0.1505143903625088,0.164861948537935,-0.010286877843661224,0.7372262773722628,-0.21606053933891362,0.2749882817797651,0.013399006906093858,0.90945053360687
A+023,A+,PRTA,2023-05-31,2023-06-02,2023-06-05,68.66000366210938,0.012234143505503337,0.07716277655720316,-0.008869809600724698,-0.0033498885037275272,0.12336139148770298,-0.008869809600724698,0.927007299270073,0.25448114288477236,0.4991743340977195,0.030461413742616017,0.9741698455821286
A+024,A+,TMDX,2023-05-31,2023-06-05,2023-06-06,74.47000122070312,0.10057738338920919,0.10380012892211532,0.0,0.07895793147621566,0.1482476263537129,0.0,0.781021897810219,-0.017942118415699992,0.26316323836984995,0.011911273897236008,0.7175576668465621
A+025,A+,VKTX,2023-05-31,2023-06-05,2023-06-06,23.049999237060547,0.0297180649008284,0.10932757228520562,-0.006507575856622871,-0.053796087295502004,0.10932757228520562,-0.10043378322489738,1.0,0.33515979006996155,0.3931682625573665,0.027159422761209084,0.7070122979053984
A+026,A+,AAOI,2023-07-31,2023-08-02,2023-08-03,7.630000114440918,0.5937089993481768,0.726081242301392,-0.1480996195926948,0.7077325737269604,1.0838793420772226,-0.1480996195926948,0.9928057553956835,0.2204736118472982,0.4409472236945964,0.08516885882224012,0.8749998645349158
A+027,A+,ANF,2023-08-31,2023-09-05,2023-09-06,55.06999969482422,-0.051025992171107926,0.008171432094301379,-0.05393138255241847,-0.08153255653988178,0.008171432094301379,-0.08952243204096344,0.8897058823529411,0.08060444784041076,0.3576821171817176,0.013114131741353452,0.7261144020643027
A+028,A+,UPST,2024-01-31,2024-02-02,2024-02-05,31.700000762939453,0.0694006533120175,0.11482647640513521,-0.026498426888681315,-0.17381703773722268,0.16593054242707406,-0.20189278775542374,0.5460992907801419,-0.014238239585469797,0.4413759223167296,0.03941518482366413,0.866359147266517
A+029,A+,APP,2024-04-30,2024-05-02,2024-05-03,73.0,0.16013701974529115,0.21232876712328763,-0.006849315068493178,0.14013703228676166,0.21232876712328763,-0.006849315068493178,0.9020979020979021,0.03159759013085234,0.3338427002659476,0.017051491321570023,0.7552737726185532
A+030,A+,VRT,2024-04-30,2024-05-06,2024-05-07,95.63855160240999,-0.011470210203085363,0.04586014230538282,-0.022523445139096987,0.03566211735707303,0.09238787767264278,-0.029197184389432307,0.9370629370629371,0.4169556003666702,0.5027992728973986,0.03040579261722942,0.9930807448825054
A+031,A+,AMSC,2024-06-28,2024-07-02,2024-07-03,24.15999984741211,0.13534770192119594,0.2061258101692316,-0.0024834216192600733,0.20033113340877473,0.353476861318859,-0.0024834216192600733,0.94,0.14744914730087913,0.5367148061793826,0.03925797391853014,0.8979593955129278
A+032,A+,ROOT,2024-06-28,2024-07-02,2024-07-03,53.810001373291016,0.15071541699829338,0.2637055986724486,-0.024344942201418474,0.4757480326236361,0.5439509331120747,-0.024344942201418474,0.9533333333333334,-0.1353445763911275,0.8177080257723591,0.05700809095282322,0.8797173163951078
A+033,A+,CVNA,2024-09-30,2024-10-02,2024-10-03,35.17599868774414,0.08068004767721093,0.10012517924772513,-0.010518505392532851,0.0996134224513856,0.10967710521118956,-0.010518505392532851,0.9411764705882353,-0.189981405952869,0.4114056317434034,0.0180656559837149,0.8860104821733874
A+034,A+,HOOD,2024-11-29,2024-12-03,2024-12-04,39.95000076293945,-0.06483104137986817,0.07033785994819075,-0.06908641010066907,0.04205257254298411,0.0971214266337288,-0.10838552561609749,0.759493670886076,-0.06842666992193067,0.7253153924899548,0.042914984759228725,0.9689725997465367
A+035,A+,TPC,2024-12-31,2025-01-03,2025-01-06,25.1226847820671,-0.05236017148922201,0.04085683157679698,-0.071003540266386,0.08726697090149305,0.08964695769295727,-0.071003540266386,0.5128205128205128,-0.07653944462903663,0.33677800486187487,0.018077260940807083,0.7692312206744993
A+036,A+,LTBR,2025-03-31,2025-04-02,2025-04-03,7.110000133514404,0.0604781744393692,0.11392404044571602,-0.14205347537491575,0.02109705943047402,0.1870603968908071,-0.14205347537491575,0.930379746835443,0.08316000278072395,0.7796257695783599,0.10489510349600328,0.9753086637785638
A+037,A+,SEZL,2025-03-31,2025-04-02,2025-04-03,33.56999969482422,0.13643139328836007,0.18617813693229257,-0.2594578243566549,0.2731606215968003,0.2761394263340702,-0.2594578243566549,0.7911392405063291,-0.11821744317427366,0.8500358246064186,0.08838163943796551,0.8558754395150326
A+038,A+,SMR,2025-03-31,2025-04-02,2025-04-03,13.8100004196167,0.16292534235767486,0.19768286842575034,-0.19768286842575022,0.049963762448781424,0.19768286842575034,-0.19768286842575022,0.6329113924050633,0.10052135130553222,0.5088894907728856,0.056643318541155674,0.7111109384293911
A+039,A+,ADPT,2025-05-30,2025-06-03,2025-06-04,9.989999771118164,0.0470470748545575,0.07197195987427163,-0.021021025321151465,0.015015072636763493,0.08808810156183022,-0.021021025321151465,0.7677419354838709,0.3017498621485219,0.6638496967267481,0.04631574530350524,0.9062493946406512
A+040,A+,ASST,2025-06-30,2025-07-02,2025-07-03,85.0,0.6141176111557904,1.4588235294117649,-0.06823533002068016,0.19999999999999996,1.4588235294117649,-0.06823533002068016,0.9814814814814815,0.29748695767965794,0.5316792597860713,0.11111113353731539,0.767857215842442
A+041,A+,CRDO,2025-06-30,2025-07-07,2025-07-08,93.3000030517578,0.05787774619352137,0.07770632114532838,-0.020364431551249562,0.02615214075243011,0.11843510247511313,-0.02304395986660568,0.8024691358024691,-0.24130963855307389,0.27262575626657004,0.01621921487050515,0.9825588616241727
A+042,A+,HSAI,2025-08-29,2025-09-04,2025-09-05,27.190000534057617,0.029422553194086376,0.11952923634293855,-0.060684059805865775,0.09010661299995215,0.11952923634293855,-0.060684059805865775,0.8780487804878049,-0.22608202701629643,0.43562108190343585,0.03083524521080183,0.7769225690496271
A+043,A+,OKLO,2025-11-28,2025-12-03,2025-12-04,96.9800033569336,0.03732723233535218,0.1784903790411776,-0.024489584633842987,-0.2169519507860801,0.1784903790411776,-0.2266446957733801,0.6627906976744186,0.008261509120542179,0.5140702338932974,0.06154520942516606,0.9486853852654294
A+044,A+,ALM,2026-03-31,2026-04-02,2026-04-06,15.619999885559082,0.14468625427436277,0.17477596132600293,-0.011523707201956723,0.499359811003973,0.5627400785053469,-0.011523707201956723,0.9488636363636364,-0.04261095116074152,0.6018803200987314,0.07940970841825701,0.8292679097382339
A+045,A+,LASR,2026-03-31,2026-04-02,2026-04-06,60.36000061035156,0.08300202262375844,0.10006628320827926,-0.08730948317551679,0.16683233255463614,0.18552017782707875,-0.08730948317551679,0.8977272727272727,-0.19298753831713816,0.8784259489406506,0.09628006500010389,0.8659472231773657
A+046,A+,ONDS,2026-03-31,2026-04-02,2026-04-06,9.630000114440918,-0.051921079341443854,0.07684317365775284,-0.06645901720842395,0.03842158682887642,0.0934579032019589,-0.09345800223355871,0.8409090909090909,0.25367834151629626,1.1009640408889705,0.12742219546682731,0.9743592042607246
A+047,A+,WULF,2026-03-31,2026-04-02,2026-04-06,14.9399995803833,0.2630523004840184,0.35274428728960827,-0.0026773736932061976,0.3815261023667915,0.4042838106758544,-0.0026773736932061976,0.6818181818181818,-0.18436578897212055,0.855457148302692,0.08454809218916415,0.9096772089709363
A+048,A+,AMPX,2026-03-31,2026-04-06,2026-04-07,17.40999984741211,0.05628946299973703,0.06203331034874138,-0.09477309781685817,0.12636420345899468,0.1596783866174898,-0.09477309781685817,0.9090909090909091,0.14757276872078004,0.9431839149769571,0.09136105030540098,0.9554141984517671
A+049,A+,TNGX,2026-04-30,2026-05-04,2026-05-05,22.88999938964844,0.0257754551472249,0.07361299336919247,-0.023154163103060843,-0.09873308384201529,0.12538230300396158,-0.1550022031585494,0.9421965317919075,0.2818800989735644,0.968963540279094,0.0783475622209111,0.7553641112287173
A001,A,ARWR,2019-01-31,2019-02-04,2019-02-05,14.380000114440918,0.17663421012787528,0.18219748711461992,-0.11543809695419105,0.26077879113226143,0.2702364813848146,-0.11543809695419105,0.8440366972477065,0.012136202543338649,0.1820395660341207,0.010563420719676309,0.8163277718578682
A002,A,TCMD,2019-01-31,2019-02-04,2019-02-05,68.25,0.013772929544414003,0.030256446027930428,-0.018608009422218408,0.0858608148036859,0.10564101222670552,-0.018608009422218408,0.8165137614678899,-0.00716982507582719,0.23664526045771025,0.00976770260604165,0.9836093253620832
A003,A,NTRA,2019-03-29,2019-04-02,2019-04-03,21.1200008392334,-0.05303034065949652,0.017045392457285313,-0.059185603708781453,-0.023200836126698876,0.017045392457285313,-0.059185603708781453,0.39473684210526316,-0.7531724115558781,0.5403191689987081,0.03246433103241242,0.8989894903139419
A004,A,TBCH,2019-03-29,2019-04-05,2019-04-08,11.920000076293944,0.023489910333813313,0.06124157194328572,-0.0276845571806954,-0.07298656711330931,0.06124157194328572,-0.11157717409340517,0.017543859649122806,-0.8685716901506703,0.25142887660435287,0.01867574465329125,0.8627455013622572
A005,A,VKTX,2019-04-30,2019-05-02,2019-05-03,8.050000190734863,0.07329194268429351,0.10807451738453455,-0.006211203670828613,0.0534160672438706,0.10807451738453455,-0.024844755448886202,0.02727272727272727,0.0876180582643041,0.43809614054720003,0.031645508879100115,0.8956514095311072
A006,A,SBGI,2019-05-31,2019-06-04,2019-06-05,38.28307067794236,-0.06879568369424327,0.019890514010276306,-0.08357666039035949,-0.031569396959014506,0.019890514010276306,-0.08357666039035949,0.9819819819819819,-0.24832726138069572,0.05227927924823598,0.0029422553194085044,0.7685958750796016
A007,A,ENPH,2019-06-28,2019-07-02,2019-07-03,18.670000076293945,0.06534543697745221,0.10712372746797572,-0.0058918377023058355,0.08141405739433694,0.10712372746797572,-0.0058918377023058355,0.9912280701754386,-0.3853096504425112,0.3732684367878484,0.016986272106432,0.8571424678884584
A008,A,TTD,2019-06-28,2019-07-02,2019-07-03,23.43099975585937,0.021851437963914533,0.056523407533599856,-0.023387834125870643,0.042123661901022125,0.06559688754823956,-0.023387834125870643,0.8245614035087719,-0.4641625696537678,0.4579005218003583,0.022349256684378815,0.9801862444118856
A009,A,AGI,2019-08-30,2019-09-04,2019-09-05,6.750524417362138,-0.09383749658399931,0.0014005923065596448,-0.11204466185135498,-0.12467219533346918,0.0014005923065596448,-0.14431094217311602,0.7027027027027027,-0.29810238044600296,0.2981033222525491,0.015406181452570333,0.9499989271179288
A010,A,AU,2019-08-30,2019-09-04,2019-09-05,18.85256779620076,-0.11249427063485251,0.00266782865953763,-0.12405489850809992,-0.15073357715508273,0.00266782865953763,-0.1751889433929893,0.8918918918918919,-0.48852079583573343,0.48851988440394534,0.022291573481816762,0.9705875753121864
A011,A,MDB,2019-09-30,2019-10-02,2019-10-03,120.9800033569336,0.10324018447015271,0.14762764494446046,-0.015870439288013016,0.004050238470599599,0.15989420758195805,-0.015870439288013016,0.41228070175438597,-0.299140981446321,0.4843784604308183,0.03612802822083783,0.8932869178808899
A012,A,APPS,2019-09-30,2019-10-04,2019-10-07,6.420000076293945,0.0,0.020249238768851097,-0.06074764203285332,0.021806832526770403,0.037383141474463644,-0.06074764203285332,0.9824561403508771,-0.43132816902269877,0.24971545378362714,0.017295543139629332,0.9642849236124474
A013,A,SNAP,2019-10-31,2019-11-04,2019-11-05,15.31999969482422,-0.06070491971456515,0.0019582694022926006,-0.08877282531126396,-0.04112272369390202,0.0019582694022926006,-0.11879893805997255,0.8636363636363636,-0.04474901460271168,0.05966582698546367,0.0026126688933187925,0.8695666596177934
A014,A,TSLA,2020-02-28,2020-03-06,2020-03-09,40.35933303833008,-0.09707789927690635,0.10342093072779024,-0.170782452140401,-0.2937940579531656,0.10342093072779024,-0.42101787370213317,0.9831932773109243,-1.3603299969364657,0.17717138639242072,0.019536225692085685,0.845139526980251
A015,A,TGTX,2020-05-29,2020-06-02,2020-06-03,18.600000381469727,-0.0198925178303766,0.0500000153818434,-0.07741938196368103,-0.022043002096955422,0.0500000153818434,-0.10967746632734998,0.9322033898305084,-0.2353750883273898,0.11022414851412757,0.010357073811551931,0.8857136110066611
A016,A,ARCT,2020-07-31,2020-08-04,2020-08-05,52.93000030517578,-0.06952579414241811,0.1707916278746624,-0.07632724149318193,0.06083508789226766,0.1707916278746624,-0.12034760807023592,0.9655172413793104,-0.06780332338625013,0.2144031765794792,0.021889581894197985,0.882128803273386
A017,A,MRNA,2020-07-31,2020-08-04,2020-08-05,77.48999786376953,-0.10994963063549046,0.0,-0.13537228226811104,-0.13498515128186928,0.0,-0.15821389656494111,0.9137931034482759,0.06533693080287244,0.037255541333557886,0.003427431669441372,0.9487168201102838
A018,A,BE,2020-08-31,2020-09-02,2020-09-03,16.600000381469727,-0.1692771298218433,0.001204846825545669,-0.20481930687182082,-0.12349398455576188,0.001204846825545669,-0.20481930687182082,0.811965811965812,0.02280495510437584,0.03040709012550011,0.002433029615531268,0.9395343761948655
