ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
ROKU,monthly_only,A+007,,A+,,2019-12-31,,2020-01-03,2020-01-06,-0.0576838465229589,0.0608396365707029,-0.059885430297085,-0.0431527217163394,0.0608396365707029,-0.0730954928563311,A+,MT-031,2020,2019-2022,False
SE,weekly_incremental,,W-SE-20200130,,A+,,2020-01-24,2020-01-30,2020-01-31,0.0097173686675853,0.0492491078258581,-0.0103798016492164,0.0589664764934436,0.0689046561549062,-0.0103798016492164,A+,MT-032,2020,2019-2022,False
MGNI,monthly_only,A+008,,A+,,2020-01-31,,2020-02-04,2020-02-05,0.0325533771422015,0.0691760234438954,-0.0264496674363973,0.2970498574727414,0.3214648903293928,-0.0264496674363973,A+,MT-033,2020,2019-2022,False
APPS,weekly_incremental,,W-APPS-20200219,,A+,,2020-02-14,2020-02-19,2020-02-20,-0.1021897546001038,0.030656940302284,-0.1386861054731787,0.0102190033045164,0.030656940302284,-0.2087591019339332,A+,MT-034,2020,2019-2022,False
ARCT,exact_confluence,A016,W-ARCT-20200804,A,A+,2020-07-31,2020-07-31,2020-08-04,2020-08-05,-0.0695257941424181,0.1707916278746624,-0.0763272414931819,0.0608350878922676,0.1707916278746624,-0.1203476080702359,A+,MT-043,2020,2019-2022,True
SE,weekly_incremental,,W-SE-20201013,,A+,,2020-10-09,2020-10-13,2020-10-14,-0.0426276982471652,0.0149167573104087,-0.0714859810425088,-0.0115318974780977,0.0149167573104087,-0.0889845639361196,A+,MT-050,2020,2019-2022,False
DKNG,monthly_only,A+009,,A+,,2020-10-30,,2020-11-03,2020-11-04,0.0235861095099638,0.1283287175787015,-0.0278975010298618,0.1820948579661385,0.1876743968705356,-0.0278975010298618,A+,MT-052,2020,2019-2022,False
MRNA,exact_confluence,A+010,W-MRNA-20201103,A+,A+,2020-10-30,2020-10-30,2020-11-03,2020-11-04,0.1026533522654113,0.1654341863240367,-0.0007394882055778,0.3505872100509335,0.496302669591139,-0.0007394882055778,A+,MT-053,2020,2019-2022,True
NET,monthly_only,A+011,,A+,,2020-10-30,,2020-11-03,2020-11-04,0.1134545759721235,0.3049090298739347,-0.0127272865988991,0.1992727106267755,0.3049090298739347,-0.0127272865988991,A+,MT-054,2020,2019-2022,False
PDD,monthly_only,A+012,,A+,,2020-11-30,,2020-12-02,2020-12-03,0.0191298633569145,0.1263812338817189,-0.0158149758056519,0.0046270590802808,0.1263812338817189,-0.0430248314657299,A+,MT-058,2020,2019-2022,False
UPWK,monthly_only,A+013,,A+,,2020-12-31,,2021-01-05,2021-01-06,0.228373647613933,0.2315455221636329,-0.0129758004319363,0.1473471904666887,0.2701845112292675,-0.0129758004319363,A+,MT-063,2021,2019-2022,False
TGTX,monthly_only,A+014,,A+,,2020-12-31,,2021-01-07,2021-01-08,-0.0710798977901727,0.0296333184710557,-0.0734388949609404,-0.1031992384865287,0.0296333184710557,-0.1509245243430884,A+,MT-064,2021,2019-2022,False
AGNT,weekly_incremental,,W-AGNT-20210112,,A+,,2021-01-08,2021-01-12,2021-01-13,0.2255838392957283,0.2937897741626993,-0.0298567443616502,0.4389596384132892,0.5923565148918226,-0.0298567443616502,A+,MT-065,2021,2019-2022,False
DFTX,monthly_only,A+015,,A+,,2021-01-29,,2021-02-02,2021-02-03,0.0211480202374869,0.1117824585396587,-0.036253836786281,0.223262814578059,0.3293050950985174,-0.036253836786281,A+,MT-066,2021,2019-2022,False
TDAY,exact_confluence,A+016,W-TDAY-20210602,A+,A+,2021-05-28,2021-05-28,2021-06-02,2021-06-03,0.0509804379889626,0.0647058686033112,-0.0176469955752315,0.1313725664358058,0.1411765255867552,-0.0176469955752315,A+,MT-076,2021,2019-2022,True
CLDX,exact_confluence,A+017,W-CLDX-20210803,A+,A,2021-07-30,2021-07-30,2021-08-03,2021-08-04,0.0520361809357485,0.0891402388846238,-0.0113122169993091,0.0287330415348892,0.0891402388846238,-0.0502262710946498,A+,MT-080,2021,2019-2022,True
AA,exact_confluence,A+018,W-AA-20220202,A+,A+,2022-01-31,2022-01-28,2022-02-02,2022-02-03,0.2208829072961622,0.2286927389051745,-0.0096774139228804,0.3215621784631841,0.323429761365134,-0.0096774139228804,A+,MT-087,2022,2019-2022,True
DVN,weekly_incremental,,W-DVN-20220202,,A+,,2022-01-28,2022-02-02,2022-02-03,-0.0151170126719324,0.0476192456540234,-0.0447844952738855,0.0175737137982141,0.0525321864613617,-0.0542326699177233,A+,MT-088,2022,2019-2022,False
